,the_geom,name,tel,url,adress1,address2,city,zip,focus,summary
0,,9/11 Tribute Museum,,,,,,,American and ny history,History of the september 11 attacks and tours of the world trade center site
1,,A.I.R. Gallery,,,,,,,Contemporary art,Contemporary art by female artists
2,,African Burial Ground National Monument,,,,,,,African and african-american,Visitor center and memorial to an 18th-century african-american slave burial ground
3,,AIGA National Design Center,,,,,,,"Design, decorative arts, architecture","Website, public gallery of the aiga dedicated to presenting examples of outstanding contemporary design"
4,"(-74.01375579519738, 40.703816216918035)",Alexander Hamilton U.S. Custom House,(212) 514-3700,http://www.oldnycustomhouse.gov/,1 Bowling Grn,,New York,10004.0,,
5,"(-74.06303178855111, 40.615120837755356)",Alice Austen House Museum,(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd,,Staten Island,10305.0,"Photography, film, new media","Home of photographer alice austen, also features photography exhibitions"
6,"(-73.94729768541572, 40.833853500753314)",American Academy of Arts and Letters,(212) 368-5900,http://www.artsandletters.org/,633 W. 155th St.,,New York,10032.0,Contemporary art,"Exhibitions of its members in american literature, music, and art, also recreated studio of composer charles ives"
7,"(-73.97810302110001, 40.76162497138548)",American Folk Art Museum,(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street,,New York,10019.0,Folk art,American folk art
8,"(-74.0396848374904, 40.69905626244391)",American Immigration History Center,(212) 363-3200,http://www.ellisisland.org/,Ellis Island,,New York,0.0,,
9,"(-73.99392890421056, 40.738015384101416)",American Jewish Historical Society,(212) 294-6160,http://www.ajhs.org/,15 W. 16th St.,,New York,10011.0,,
10,"(-73.97364816377815, 40.78082623457644)",American Museum of Natural History,(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street,,New York,10024.0,Nature,The world's largest natural history museum. includes rose center for earth and space
11,"(-74.00701187920873, 40.72352659262823)",American Numismatic Society,(212) 571-4470,http://www.numismatics.org/,75 Varick St,11th Floor,New York,10013.0,Financial,Exhibits of coins and medals from all periods and cultures
12,"(-73.99388579658319, 40.73807723317813)",American Sephardi Federation / Sephardic House,(212) 294-8350,http://www.americansephardifederation.org/,15 W. 16th St.,,New York,10011.0,,
13,"(-73.96597045258356, 40.76882422895272)",Americas Society,(212) 249-8950,http://as.americas-society.org/,680 Park Ave.,,New York,10021.0,"Hispanic, latino, and caribbean","Exhibits of historic and contemporary art from latin america, the caribbean, and canada"
14,"(-73.99963036903092, 40.721127449476676)",Anne Frank Center USA,(212) 431-7993,http://www.annefrank.com/,38 Crosby Street,5th Floor,New York,10012.0,European jewish and jewish-american,Uses the diary and spirit of anne frank to promote tolerance and human rights
15,,Aperture Foundation,,,,,,,"Photography, film, new media",Exhibitions dedicated to contemporary and classic photography
16,,Art in General,,,,,,,Contemporary art,Contemporary art space
17,,Artists Space,,,,,,,Contemporary art,Non-profit contemporary art gallery
18,"(-73.96428395726613, 40.76983378265351)",Asia Society,(212) 288-6400,http://www.asiasociety.org/,725 Park Avenue,,New York,10021.0,Asian and asian-american,Features historic and contemporary asian art and decorative items
19,,Asian American Arts Centre,,,,,,,Asian and asian-american,Cultural center with exhibition galleries
20,"(-73.94654590494326, 40.83358228246046)",Audubon Terrace,,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,Broadway at 155 Street,,New York,10032.0,,
21,,Austrian Cultural Forum New York,,,,,,,Contemporary art,Culture center with art exhibition gallery
22,,Bard Graduate Center,,,,,,,"Design, decorative arts, architecture","Annually organizes two to three exhibitions related to decorative arts, architecture, and design"
23,"(-73.80557949995756, 40.87177831678272)",Bartow-Pell Mansion,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road,Pelham Bay Park,Bronx,10464.0,,Mid-19th-century period mansion and gardens
24,,Bayside Historical Society,,,,,,,Local history,Located in the officer's club in fort totten
25,,Bernard Museum of Judaica,,,,,,,European jewish and jewish-american,"Located in temple emanu-el, jewish art, religious ornaments, and temple memorabilia"
26,,Billiou-Stillwell-Perine House,,,,,,,,"17th-century dutch colonial house, operated by historic richmond town"
27,"(-73.82489046385625, 40.762886331946646)",Bowne House,(718) 359-0528,http://www.bownehouse.org/,37-01 Bowne Street,,Queens,11354.0,,"Oldest house in queens, dates back to the mid-1600s"
28,,BRIC House,,,,,,,Contemporary art,Contemporary art and new media
29,,Bronx Children's Museum,,,,,,,,
30,"(-73.87974874003561, 40.87823644134894)",Bronx Historical Society & Musem,(718) 881-8900,http://www.bronxhistoricalsociety.org/,3309 Bainbridge Ave,,Bronx,10467.0,,
31,"(-73.91975017724828, 40.83102977992849)",Bronx Museum of the Arts (BXMA),(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse,,Bronx,10456.0,Encyclopedic,Focuses on contemporary and 20th-century art
32,,Bronx River Art Center,,,,,,,Neighborhood art center,Website
33,,Brooklyn Botanic Garden,,,,,,,Nature,Includes a bonsai museum and art gallery in the conservatory
