name,focus,summary
9/11 Tribute Museum,American and ny history,History of the september 11 attacks and tours of the world trade center site
African Burial Ground National Monument,African and african-american,Visitor center and memorial to an 18th-century african-american slave burial ground
AIGA National Design Center,"Design, decorative arts, architecture","Website, public gallery of the aiga dedicated to presenting examples of outstanding contemporary design"
A.I.R. Gallery,Contemporary art,Contemporary art by female artists
Alice Austen House,"Photography, film, new media","Home of photographer alice austen, also features photography exhibitions"
American Academy of Arts and Letters,Contemporary art,"Exhibitions of its members in american literature, music, and art, also recreated studio of composer charles ives"
American Folk Art Museum,Folk art,American folk art
American Museum of Natural History,Nature,The world's largest natural history museum. includes rose center for earth and space
American Numismatic Society Museum,Financial,Exhibits of coins and medals from all periods and cultures
Americas Society,"Hispanic, latino, and caribbean","Exhibits of historic and contemporary art from latin america, the caribbean, and canada"
Anne Frank Center USA,European jewish and jewish-american,Uses the diary and spirit of anne frank to promote tolerance and human rights
Aperture Foundation,"Photography, film, new media",Exhibitions dedicated to contemporary and classic photography
Art in General,Contemporary art,Contemporary art space
Artists Space,Contemporary art,Non-profit contemporary art gallery
Asia Society,Asian and asian-american,Features historic and contemporary asian art and decorative items
Asian American Arts Centre,Asian and asian-american,Cultural center with exhibition galleries
Austrian Cultural Forum New York,Contemporary art,Culture center with art exhibition gallery
Bard Graduate Center,"Design, decorative arts, architecture","Annually organizes two to three exhibitions related to decorative arts, architecture, and design"
Bartow-Pell Mansion,,Mid-19th-century period mansion and gardens
Bayside Historical Society,Local history,Located in the officer's club in fort totten
Bernard Museum of Judaica,European jewish and jewish-american,"Located in temple emanu-el, jewish art, religious ornaments, and temple memorabilia"
Billiou-Stillwell-Perine House,,"17th-century dutch colonial house, operated by historic richmond town"
Brooklyn Navy Yard Center at BLDG 92,American and ny history,"Website, history of the former navy yard, tours, plans for its future, exhibits of local art, photography, history"
Bowne House,,"Oldest house in queens, dates back to the mid-1600s"
BRIC House,Contemporary art,Contemporary art and new media
Bronx Children's Museum,,
